experiment,phase,model,target_interval_sec,attacker_share,confirmations,acceptance_policy,success_probability,ci_lower,ci_upper,expected_wait_sec,median_wait_sec,expected_work
P0_analytical_baseline,I,analytical_exact,,0.15,2,600s × 2,0.03130808823529417,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,2,600s × 2,0.024943397615244667,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,2,600s × 2,0.1215000000000001,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,2,600s × 2,0.1150410302791336,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,3,600s × 3,0.014239025735294305,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,3,600s × 3,0.009576559056836298,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,3,600s × 3,0.05322375000000017,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,3,600s × 3,0.04422780528370407,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,5,600s × 5,0.003125721859122434,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,5,600s × 5,0.0014520880064697872,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,5,600s × 5,0.0112573262109377,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,5,600s × 5,0.006783781183198112,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,10,600s × 10,8.246486402270747e-05,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,10,600s × 10,1.3960792130673916e-05,,,,,
P0_analytical_baseline,I,analytical_exact,,0.15,10,600s × 10,0.00028701473783073383,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.15,10,600s × 10,6.700566400430485e-05,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,1,600s × 1,0.12999999999999995,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,1,600s × 1,0.12384911904466955,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,1,600s × 1,0.39999999999999997,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,1,600s × 1,0.41589941269644637,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,2,600s × 2,0.0724,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,2,600s × 2,0.061772885757020224,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,2,600s × 2,0.208,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,2,600s × 2,0.20392850912716864,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,3,600s × 3,0.04167999999999987,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,3,600s × 3,0.031279530511590825,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,3,600s × 3,0.11583999999999987,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,3,600s × 3,0.10324162253072999,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,5,600s × 5,0.014567756799999517,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,5,600s × 5,0.008232449101215789,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,5,600s × 5,0.03916287999999953,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,5,600s × 5,0.02741554005309732,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,10,600s × 10,0.0012121205478262836,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,10,600s × 10,0.0003129583819645454,,,,,
P0_analytical_baseline,I,analytical_exact,,0.2,10,600s × 10,0.003158241098331755,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.2,10,600s × 10,0.001066952797483256,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,1,600s × 1,0.20833333333333331,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,1,600s × 1,0.20385409936245635,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,1,600s × 1,0.5,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,1,600s × 1,0.5223124596174737,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,2,600s × 2,0.13802083333333334,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,2,600s × 2,0.12528935275928765,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,2,600s × 2,0.3125,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,2,600s × 2,0.31544384128987724,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,3,600s × 3,0.09407552083333322,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,3,600s × 3,0.07803053632342227,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,3,600s × 3,0.2070312499999999,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,3,600s × 3,0.19611529521795923,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,5,600s × 5,0.045770009358723635,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,5,600s × 5,0.03098697634286529,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,5,600s × 5,0.09785461425781222,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,5,600s × 5,0.07835701207967494,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,10,600s × 10,0.008563613978668089,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,10,600s × 10,0.003277714314719904,,,,,
P0_analytical_baseline,I,analytical_exact,,0.25,10,600s × 10,0.017806558607842207,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.25,10,600s × 10,0.008450100042087683,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,1,600s × 1,0.30857142857142866,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,1,600s × 1,0.30867691853847157,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,1,600s × 1,0.6000000000000001,,,,,
