experiment,phase,model,target_interval_sec,attacker_share,confirmations,acceptance_policy,success_probability,ci_lower,ci_upper,expected_wait_sec,median_wait_sec,expected_work
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.0,1.0821237056584124e-19,0.0019170472812529342,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.001,0.0002742789176520344,0.0036389342690383943,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.009,0.005700499728577407,0.01418204070161297,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.026,0.019882087677964753,0.033935273144663027,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.1455,0.13072618405103206,0.1616330024713762,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.196,0.1791921063066015,0.21397345844040022,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.197,0.1801568293128303,0.21500490133960892,,,
R1_finite_duration,II,finite_horizon,600.0,0.1,1,600s × 1,0.1935,0.17678106379716146,0.21139408618624655,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.024,0.018149556703294482,0.03167547230845831,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.1045,0.09184284051856186,0.1186735438809092,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.2005,0.18353471853619274,0.21861359278527773,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.213,0.1956153308566345,0.23148505428280464,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.2,0.18305203450854435,0.21809819386020737,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.2045,0.18739771047635956,0.22273526446686084,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.197,0.1801568293128303,0.21500490133960892,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,1,60s × 1,0.1935,0.17678106379716146,0.21139408618624655,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.0,1.0821237056584124e-19,0.0019170472812529342,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.007,0.004174346055921096,0.011715862563394297,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.034,0.026908260159560583,0.04287842790656715,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.0615,0.05178817023412858,0.07289308023153022,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.0515,0.042644720050338814,0.06207487136094505,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.0545,0.045378356153563185,0.06532973297403316,,,
R1_finite_duration,II,finite_horizon,60.0,0.1,2,60s × 2,0.0615,0.05178817023412858,0.07289308023153022,,,
